ANNO_MESE;FLEET;OT_TYPE;THING;VEHICLE;BASELINE;CUID;ITEMS_GROUP;TSTAMP;S_BCE1_BCE1_ITRACTION;S_BCE2_BCE2_ITRACTION;S_BCE3_BCE3_ITRACTION;S_BCE4_BCE4_ITRACTION;S_BCE5_BCE5_ITRACTION;S_MPU1_BCE_CRELEASEHOLDINGH;S_MPU1_BCE_CRELEASEHOLDINGL;S_MPU1_BCE_CTLTRACTION;S_MPU1_DDU_CDRVLOCALCABACTIVE_H1;S_MPU1_DDU_CDRVLOCALCABACTIVE_H2;S_MPU1_DDU_CTRACTIONINHIBIT;S_MPU1_F_TBS_CONSTCLTRACCUTOFFTRAIN_IOS;S_MPU1_F_TBS_CONSTCLTRACCUTOFF_IOS;S_MPU1_F_TBS_CONSTCLTRACTIONTRAIN_IOS;S_MPU1_F_TBS_CONSTCLTRACTION_IOS;S_MPU1_F_TBS_ENCODERDIFFERFAILH1_IOS;S_MPU1_F_TBS_ENCODERDIFFERFAILH2_IOS;S_MPU1_F_TBS_ENCODERR1H1FAIL_IOS;S_MPU1_F_TBS_ENCODERR1H2FAIL_IOS;S_MPU1_F_TBS_ENCODERR2H1FAIL_IOS;S_MPU1_F_TBS_ENCODERR2H2FAIL_IOS;S_MPU1_F_TBS_INCONTRACTIONCOM_H1_IOS;S_MPU1_F_TBS_TRACCONVEREBDOOR_H1_IOS;S_MPU1_F_TBS_TRACCONVEREBDOOR_H2_IOS;S_MPU1_F_TBS_TRACCUTOFFINCONTS_IOS;S_MPU1_F_TBS_TRACMICROSWITCHMC_H1_IOS;S_MPU1_F_TBS_TRACMICROSWITCHMC_H2_IOS;S_MPU1_F_TBS_TRACTIONFAULT_H1;S_MPU1_F_TBS_TRACTIONFAULT_H2;S_MPU1_F_TBS_TRACTIONINHIBIT;S_MPU1_MPU_CTRAINSPEED;S_PCE1_PCE1_INOBRAKE;S_PCE1_PCE1_INOTRACTIONCUTOFF;S_PCE1_PCE1_ITRACTION;S_PCE2_PCE2_INOBRAKE;S_PCE2_PCE2_INOTRACTIONCUTOFF;S_PCE2_PCE2_ITRACTION;S_PCE3_PCE3_INOBRAKE;S_PCE3_PCE3_INOTRACTIONCUTOFF;S_PCE3_PCE3_ITRACTION;S_PCE4_PCE4_INOTRACTIONCUTOFF;S_PCE4_PCE4_ITRACTION;S_RIO1_H1_LI_TBSTRACTIONFAULT_H1;S_RIO1_H2_LI_TBSTRACTIONFAULT_H2;S_RIO2_H1_LI_ATPNOTRACTIONBLOCKDIS_H1;S_RIO2_H1_LI_ATPNOTRACTIONBLOCKSCMT_H1;S_RIO2_H2_LI_ATPNOTRACTIONBLOCKDIS_H2;S_RIO2_H2_LI_ATPNOTRACTIONBLOCKSCMT_H2;S_RIO3_H1_LI_TBSMOTORING_R1_H1;S_RIO3_H1_LI_TBSNOBRAKE_R1_H1;S_RIO3_H2_LI_TBSMOTORING_R1_H2;S_RIO3_H2_LI_TBSNOBRAKE_R1_H2;S_RIO4_H1_LI_TBSMOTORING_R2_H1;S_RIO4_H2_LI_TBSMOTORING_R2_H2
ANNO_MESE;FLOTTA;OT_TYPE;ROTABILE;VEICOLO;BASELINE;CENTRALINA;ITEMS GROUP;TIMESTAMP BORDO;I/O bus mirror: Trainline status TL_Traction;I/O bus mirror: Trainline status TL_Traction;I/O bus mirror: Trainline status TL_Traction;I/O bus mirror: Trainline status TL_Traction;I/O bus mirror: Trainline status TL_Traction;Vehicle command: Release Holding Brake command by TCMS (active High);Vehicle command: Release Holding Brake command by TCMS (active Low);Vehicle Train Lines: 1 = Vehicle in traction state;DDU_CDRVLocalCabActive_H1;DDU_CDRVLocalCabActive_H2;DDU_CTractionInhibit;Incoerenza segnale stato taglio trazione  a livello treno;Incoerenza segnale stato  taglio trazione  a livello complesso;Incoerenza segnale stato trazione disponibile a livello treno;Incoerenza segnale stato trazione disponibile a livello complesso;Incongruenza  encoder del Master Controller A1;Incongruenza  encoder del Master Controller A4;Avaria Encoder 1 del Master Controller su A1;Avaria Encoder 1 del Master Controller su A4;Avaria Encoder 2 del Master Controller su A1;Avaria Encoder 2 del Master Controller su A4;Incoerenza comando e consenso trazione A1;Avaria catena del No Traction Cut Off su convertitore 1;Avaria catena del No Traction Cut Off su convertitore 2;Incoerenza segnale stato  taglio trazione;Avaria microswitch master controller H1;Avaria microswitch master controller H2;F_TBS_TractionFault_H1;F_TBS_TractionFault_H2;F_TBS_TractionInhibit;Reference speed in step of 0.01kph;State of the input E_BT_NOBRAKE 1=E_BT_NOBRAKE = 1 Resol=1 Safety=No;State of the input E_BT_QJ 1= E_BT_QJ = 1 Resol=1 Safety=No;State of the input E_BT_TRACTION 1= E_BT_TRACTION = 1 Resol=1 Safety=No;State of the input E_BT_NOBRAKE 1=E_BT_NOBRAKE = 1 Resol=1 Safety=No;State of the input E_BT_QJ 1= E_BT_QJ = 1 Resol=1 Safety=No;State of the input E_BT_TRACTION 1= E_BT_TRACTION = 1 Resol=1 Safety=No;State of the input E_BT_NOBRAKE 1=E_BT_NOBRAKE = 1 Resol=1 Safety=No;State of the input E_BT_QJ 1= E_BT_QJ = 1 Resol=1 Safety=No;State of the input E_BT_TRACTION 1= E_BT_TRACTION = 1 Resol=1 Safety=No;State of the input E_BT_QJ 1= E_BT_QJ = 1 Resol=1 Safety=No;State of the input E_BT_TRACTION 1= E_BT_TRACTION = 1 Resol=1 Safety=No;[Trazione] 1 = attivazione TCL_Traction;[Trazione] 1 = attivazione TCL_Traction;[Segnalamento] 1 = Consenso trazione da DIS;[Segnalamento] 1 = Consenso trazione da SCMT;[Segnalamento] 1 = Consenso trazione da DIS;[Segnalamento] 1 = Consenso trazione da SCMT;[Trazione] 1 = Manipolatore in trazione;[Trazione] 0 = Manipolatore in massima frenatura di servizio o in emergenza;[Trazione] 1 = Manipolatore in trazione;[Trazione] 0 = Manipolatore in massima frenatura di servizio o in emergenza;[Trazione] 1 = Manipolatore in trazione;[Trazione] 1 = Manipolatore in trazione
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:00.900000000;1;1;1;1;1;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:01.900000000;1;1;1;1;1;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:02.900000000;1;1;1;1;1;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:03.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;1;1;0;1;1;0;1;1;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:04.900000000;1;1;1;1;1;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:05.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;1;1;0;1;1;0;1;1;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:06.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:07.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:08.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
